id;nome_cliente;usuario;data_nascimento;foto;foto_content_type;telefone
1;Card;transform;2021-05-10;../fake-data/blob/hipster.png;image/png;Paraná input compress
2;artificial world-class;Madeira;2021-05-10;../fake-data/blob/hipster.png;image/png;Up-sized Advanced Tocantins
3;São matrix;redundant policy out-of-the-box;2021-05-10;../fake-data/blob/hipster.png;image/png;digital
4;Queijo;driver;2021-05-10;../fake-data/blob/hipster.png;image/png;Piauí Auto Fantástico
5;Bedfordshire;Switchable Macio;2021-05-10;../fake-data/blob/hipster.png;image/png;user-facing petróleo Solutions
6;Research;Alameda set Dynamic;2021-05-10;../fake-data/blob/hipster.png;image/png;Investment Savings
7;revolutionize Queijo;alliance Bebê;2021-05-10;../fake-data/blob/hipster.png;image/png;Functionality preto
8;haptic Borracha Metal;cultivate sticky;2021-05-10;../fake-data/blob/hipster.png;image/png;client-driven Rodovia
9;Salgadinhos Human wireless;payment;2021-05-10;../fake-data/blob/hipster.png;image/png;Mesa Salada Loan
10;Engineer Security Madeira;Architect vertical;2021-05-10;../fake-data/blob/hipster.png;image/png;implement
